date,season,holiday,weekday,workingday,weather,rentalcount
11/29/2012,4,0,4,1,1,5323
11/30/2012,4,0,5,1,1,5668
12/1/2012,4,0,6,0,2,5191
12/2/2012,4,0,0,0,2,4649
12/3/2012,4,0,1,1,1,6234
12/4/2012,4,0,2,1,1,6606
12/5/2012,4,0,3,1,1,5729
12/6/2012,4,0,4,1,1,5375
12/7/2012,4,0,5,1,2,5008
12/8/2012,4,0,6,0,2,5582
12/9/2012,4,0,0,0,2,3228
12/10/2012,4,0,1,1,2,5170
12/11/2012,4,0,2,1,2,5501
12/12/2012,4,0,3,1,2,5319
12/13/2012,4,0,4,1,1,5532
12/14/2012,4,0,5,1,1,5611
12/15/2012,4,0,6,0,1,5047
12/16/2012,4,0,0,0,2,3786
12/17/2012,4,0,1,1,2,4585
12/18/2012,4,0,2,1,1,5557
12/19/2012,4,0,3,1,1,5267
12/20/2012,4,0,4,1,2,4128
12/21/2012,1,0,5,1,2,3623
12/22/2012,1,0,6,0,1,1749
12/23/2012,1,0,0,0,1,1787
12/24/2012,1,0,1,1,2,920
12/25/2012,1,1,2,0,2,1013
12/26/2012,1,0,3,1,3,441
12/27/2012,1,0,4,1,2,2114
12/28/2012,1,0,5,1,2,3095
12/29/2012,1,0,6,0,2,1341
12/30/2012,1,0,0,0,1,1796
12/31/2012,1,0,1,1,2,2729
