call_no,incident_type,type_description,address,alarm_time,alarms,primary_unit,census_tract,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
F150037071,160,"Special outside fire, Other","OVERBROOK BLVD & LUCINA AVE, PITTSBURGH PA 15210",2015-05-14T21:23:39,0,231EN23,NA,Carrick,4,32,42003320400,4,32,3,23-Apr,40.38585995,-79.99199213
F150037084,111,Building fire,"1800 BLOCK HARCUM WAY, PITTSBURGH PA 15203",2015-05-14T22:21:34,1,231EN24,1702,South Side Flats,3,17,42003170200,4,17,3,24-Apr,40.4264597,-79.98074844
F150037086,120,"Fire in mobile prop used as a fixed struc, Other","600 BLOCK BROOKLINE BLVD, PITTSBURGH PA 15226",2015-05-14T22:37:48,0,231EN26,1918,Brookline,4,19,42003191800,4,19,6,26-Apr,40.39522082,-80.02248557
F150037087,154,Dumpster or other outside trash receptacle fire,"900 BLOCK CHARTIERS AVE, PITTSBURGH PA 15204",2015-05-14T22:54:35,0,231EN30,2020,Elliott,2,20,42003562600,5,20,6,17-Jan,40.44346978,-80.0396829
F140020192,100,"Fire, Other","1600 BLOCK CANTON AVE, PITTSBURGH PA 15228",2014-03-18T15:27:10,1,231EN27,1916,Beechview,4,19,42003191600,5,19,6,28-Apr,40.41034925,-80.03019042
F130037072,131,Passenger vehicle fire,"1900 BLOCK SPRING GARDEN AVE, PITTSBURGH PA 15212",2013-05-31T00:11:53,0,231EN38,2412,Spring Garden,1,26,42003241200,1,26,1,11-Jan,40.46877916,-79.98562477
F170045454,100,"Fire, Other","4900 BLOCK CYPRESS ST, PITTSBURGH PA 15224",2017-06-07T06:30:29,0,231EN06,804,Bloomfield,7,8,42003080400,2,8,5,1-Mar,40.45868296,-79.94710099
F140020194,111,Building fire,"5800 BLOCK BEACON ST, PITTSBURGH PA 15217",2014-03-18T15:28:00,1,231EN12,1408,Squirrel Hill South,5,14,42003140800,3,14,4,21-Feb,40.43471505,-79.92270467
F140020202,118,"Trash or rubbish fire, contained","600 BLOCK WATT ST, PITTSBURGH PA 15221",2014-03-18T15:59:07,1,231EN03,501,Middle Hill,6,5,42003050100,3,5,2,5-Feb,40.44905726,-79.97059683
F150037088,113,"Cooking fire, confined to container","00 BLOCK CLIMAX ST, PITTSBURGH PA 15210",2015-05-14T22:58:50,1,231EN23,1809,Beltzhoover,3,18,42003562400,4,18,3,16-Apr,40.41762704,-80.00988944
F150037127,160,"Special outside fire, Other","300 BLOCK S ATLANTIC AVE, PITTSBURGH PA 15208",2015-05-15T05:27:33,0,231EN08,806,Bloomfield,7,8,42003080600,2,8,5,23-Mar,40.46184403,-79.9392515
F150037241,152,Garbage dump or sanitary landfill fire,"44TH BLOCK ST & BESSEMER ST, PITTSBURGH PA 15224",2015-05-15T14:08:53,0,231EN06,902,Central Lawrenceville,7,9,42003090200,2,9,2,3-Mar,40.46957118,-79.95716687
F150037309,140,"Natural vegetation fire, Other","00 BLOCK RIVERVIEW DR, PITTSBURGH PA 15214",2015-05-15T18:27:56,0,231EN34,2602,Perry North,1,26,42003980400,1,26,1,15-Jan,40.48044423,-80.0171867
F150037333,151,"Outside rubbish, trash or waste fire","700 BLOCK PITT ST, PITTSBURGH PA 15221",2015-05-15T20:08:22,0,231EN16,NA,,,,42003560400,,,,16-Mar,40.44217778,-79.88871017
F150037339,111,Building fire,"900 BLOCK ITIN ST, PITTSBURGH PA 15212",2015-05-15T20:37:12,2,231EN32,2412,East Allegheny,1,23,42003563200,1,23,1,5-Jan,40.4581474,-79.99555187
F150037358,151,"Outside rubbish, trash or waste fire","MOREDALE ST & WHITED ST, PITTSBURGH PA 15226",2015-05-15T22:35:40,0,231EN26,3206,Brookline,4,32,42003320600,4,32,6,25-Apr,40.39681118,-80.00630803
F150037616,154,Dumpster or other outside trash receptacle fire,"300 BLOCK S PACIFIC AVE, PITTSBURGH PA 15224",2015-05-16T20:42:58,0,231EN08,806,Bloomfield,7,8,42003080600,2,8,5,23-Mar,40.46199625,-79.94066638
F150037679,130,"Mobile property (vehicle) fire, Other","100 BLOCK 49TH ST, PITTSBURGH PA 15201",2015-05-17T02:05:55,0,231EN07,901,Central Lawrenceville,7,9,42003090100,2,9,2,5-Mar,40.47801357,-79.95845036
F150037839,111,Building fire,"100 BLOCK W MEYERS ST, PITTSBURGH PA 15210",2015-05-17T17:58:36,1,231EN23,2901,Carrick,4,29,42003290100,4,29,3,23-Apr,40.40005469,-79.99063004
F150021103,111,Building fire,"8300 BLOCK ROLFE ST, PITTSBURGH PA 15221",2015-03-18T02:53:40,2,231EN17,1306,East Hills,9,13,42003130600,2,13,5,17-Mar,40.45491539,-79.87595889
F150037900,131,Passenger vehicle fire,"LINCOLN AVE & SHETLAND ST, PITTSBURGH PA 15206",2015-05-17T22:21:23,0,231EN15,1208,Larimer,9,12,42003120800,2,12,5,12-Mar,40.46159962,-79.90792265
F150037913,151,"Outside rubbish, trash or waste fire","FORBES AVE & S BOUQUET ST, PITTSBURGH PA 15213",2015-05-17T23:46:02,0,231EN10,405,Central Oakland,3,4,42003040500,3,4,4,14-Feb,40.44194883,-79.9564383
F150037920,131,Passenger vehicle fire,"3300 BLOCK IOWA ST, PITTSBURGH PA 15219",2015-05-18T00:44:35,0,231EN10,506,Upper Hill,6,5,42003050600,3,5,2,22-Feb,40.45144278,-79.95693973
F150038218,113,"Cooking fire, confined to container","200 BLOCK SUNCREST ST, PITTSBURGH PA 15210",2015-05-19T01:03:50,1,231EN23,3001,Knoxville,3,30,42003481000,4,30,3,7-Apr,40.41035674,-79.99037609
F150038224,111,Building fire,"300 BLOCK MCKINLEY ST, PITTSBURGH PA 15210",2015-05-19T01:59:11,1,231EN23,3001,Knoxville,3,30,42003300100,4,30,3,7-Apr,40.40909449,-79.99396625
F150038458,151,"Outside rubbish, trash or waste fire","400 BLOCK LAMAR AVE, PITTSBURGH PA 15221",2015-05-19T19:15:08,0,231EN16,NA,,,,42003560500,,,,21-Mar,40.43772525,-79.89001032
F150038478,113,"Cooking fire, confined to container","2100 BLOCK PARK HILL DR, PITTSBURGH PA 15206",2015-05-19T20:57:42,1,231EN16,1306,East Hills,9,13,42003130600,2,13,5,19-Mar,40.45295266,-79.8740214
F150038489,111,Building fire,"1200 BLOCK PRITCHARD ST, PITTSBURGH PA 15204",2015-05-19T21:53:19,1,231EN31,2022,Sheraden,2,20,42003202200,5,20,6,16-Jan,40.45332472,-80.06422079
F140020205,142,Brush or brush-and-grass mixture fire,"FRANKLIN AVE & ELLA ST, PITTSBURGH PA 15221",2014-03-18T16:10:57,0,231EN17,NA,,,,42003561000,,,,21-Mar,40.43838651,-79.87734401
F130077369,111,Building fire,"1000 BLOCK PENN AVE, PITTSBURGH PA 15221",2013-10-27T11:32:20,1,231EN16,NA,,,,42003561000,,,,20-Mar,40.44171454,-79.87929761
F150038583,118,"Trash or rubbish fire, contained","1000 BLOCK STONEVILLE ST, PITTSBURGH PA 15208",2015-05-20T10:23:40,1,231EN17,1301,Homewood North,9,13,42003130100,2,13,5,17-Mar,40.45673063,-79.87969002
F150038621,112,Fires in structure other than in a building,"DELMONT AVE & PROXIM WAY, PITTSBURGH PA 15210",2015-05-20T13:04:44,1,231EN27,1809,Beltzhoover,3,18,42003562400,4,18,3,16-Apr,40.4197521,-80.00450268
F150038724,100,"Fire, Other","5800 BLOCK FORWARD AVE, PITTSBURGH PA 15217",2015-05-20T20:29:20,1,231EN18,1414,Squirrel Hill South,5,14,42003141400,3,14,4,21-Feb,40.4295955,-79.92335695
F150038820,113,"Cooking fire, confined to container","500 BLOCK EDGERTON PL, PITTSBURGH PA 15217",2015-05-21T08:02:09,1,231EN18,1404,Point Breeze,8,14,42003140400,3,14,4,17-Feb,40.44847321,-79.91274665
F150039069,111,Building fire,"700 BLOCK N ST CLAIR ST, PITTSBURGH PA 15206",2015-05-22T07:06:56,1,231EN08,1113,East Liberty,9,11,42003111300,2,11,5,8-Mar,40.46908972,-79.9247618
F150039084,111,Building fire,"5400 BLOCK PLAINFIELD ST, PITTSBURGH PA 15217",2015-05-22T08:56:54,1,231EN18,1401,Squirrel Hill North,8,14,42003140100,3,14,4,8-Feb,40.44050961,-79.93557208
F150039211,154,Dumpster or other outside trash receptacle fire,"500 BLOCK LIBERTY AVE, PITTSBURGH PA 15222",2015-05-22T17:07:42,0,231EN03,201,Central Business District,6,1,42003020100,6,1,2,3-Jan,40.44123457,-80.00347705
F150039281,118,"Trash or rubbish fire, contained","100 BLOCK ART ROONEY AVE, PITTSBURGH PA 15233",2015-05-23T00:18:13,1,231EN37,2205,North Shore,1,22,42003981200,6,22,1,7-Jan,40.44631465,-80.01631623
F150039296,111,Building fire,"200 BLOCK ELYSIAN ST, PITTSBURGH PA 15206",2015-05-23T02:23:52,1,231EN18,1404,Point Breeze,8,14,42003140400,3,14,4,17-Feb,40.45276447,-79.9142573
F150039450,142,Brush or brush-and-grass mixture fire,"OAKDALE ST & WOODS RUN AVE, PITTSBURGH PA 15212",2015-05-23T16:33:03,0,231EN35,2708,Perry North,1,26,42003980400,1,26,1,15-Jan,40.4852482,-80.02511842
F150039457,113,"Cooking fire, confined to container","1300 BLOCK BROOKLINE BLVD, PITTSBURGH PA 15226",2015-05-23T17:14:16,1,231EN26,3206,Brookline,4,19,42003191800,4,19,6,26-Apr,40.3922169,-80.01083007
F150039458,134,Water vehicle fire,"00 BLOCK S 18TH ST, PITTSBURGH PA 15203",2015-05-23T17:17:49,0,231EN24,1702,South Side Flats,3,17,42003170200,4,17,3,24-Apr,40.43196926,-79.98030666
F140020285,131,Passenger vehicle fire,"400 BLOCK NOBLES LN, PITTSBURGH PA 15210",2014-03-18T22:31:26,0,231EN23,2901,Carrick,4,29,42003290100,4,29,3,23-Apr,40.40181175,-79.99618099
F150039512,113,"Cooking fire, confined to container","1600 BLOCK PENN AVE, PITTSBURGH PA 15221",2015-05-23T20:36:58,1,231EN17,NA,,,,42003561500,,,,20-Mar,40.44241769,-79.86756942
F150039517,150,"Outside rubbish fire, Other","100 BLOCK LINNVIEW AVE, PITTSBURGH PA 15210",2015-05-23T20:51:26,0,231EN24,2902,Carrick,4,29,42003290200,4,29,3,12-Apr,40.40319228,-79.98882025
F150039703,140,"Natural vegetation fire, Other","HOWARD ST & E NORTH AVE, PITTSBURGH PA 15212",2015-05-24T15:31:43,0,231EN32,2304,East Allegheny,1,23,42003563200,1,23,1,6-Jan,40.4568392,-79.99923238
F150039817,142,Brush or brush-and-grass mixture fire,"COLWELL ST & DINWIDDIE ST, PITTSBURGH PA 15219",2015-05-24T23:28:40,0,231EN04,305,Crawford-Roberts,6,3,42003030500,3,3,2,1-Feb,40.43904703,-79.98072245
F150039821,111,Building fire,"800 BLOCK PHINEAS ST, PITTSBURGH PA 15212",2015-05-24T23:59:00,1,231EN32,2304,East Allegheny,1,23,42003563200,1,23,1,5-Jan,40.45487443,-79.99705438
F150039909,142,Brush or brush-and-grass mixture fire,"6800 BLOCK FRANKSTOWN AVE, PITTSBURGH PA 15208",2015-05-25T11:53:00,0,231EN17,1207,Homewood West,9,12,42003120700,2,12,5,17-Mar,40.45810133,-79.90598029
F150039974,113,"Cooking fire, confined to container","700 BLOCK BROOKLINE BLVD, PITTSBURGH PA 15226",2015-05-25T17:18:30,1,231EN26,1918,Brookline,4,19,42003191800,4,19,6,26-Apr,40.39458318,-80.0216923
F150039994,150,"Outside rubbish fire, Other","5400 BLOCK JACKSON ST, PITTSBURGH PA 15206",2015-05-25T18:23:43,0,231EN07,1014,Morningside,7,11,42003101400,2,11,5,7-Mar,40.47369546,-79.92956294
F150040019,140,"Natural vegetation fire, Other","3800 BLOCK HOOSAC ST, PITTSBURGH PA 15207",2015-05-25T20:41:04,0,231EN12,1516,Greenfield,5,15,42003151600,3,15,4,12-Feb,40.42785376,-79.94174886
F150040253,140,"Natural vegetation fire, Other","00 BLOCK HABERMAN AVE, PITTSBURGH PA 15211",2015-05-26T17:11:32,0,231EN27,1807,Mount Washington,3,18,42003180700,4,18,3,5-Apr,40.4269311,-80.00252156
F150040256,111,Building fire,"800 BLOCK HILL AVE, PITTSBURGH PA 15221",2015-05-26T17:32:06,1,231EN16,NA,,,,42003561200,,,,16-Mar,40.44516878,-79.88050177
F150040615,154,Dumpster or other outside trash receptacle fire,"3800 BLOCK BATES ST, PITTSBURGH PA 15213",2015-05-28T00:14:03,1,231EN10,406,Central Oakland,3,4,42003040600,3,4,4,11-Feb,40.43860129,-79.95334729
F150040627,151,"Outside rubbish, trash or waste fire","FORBES AVE & SCHENLEY DR EX, PITTSBURGH PA 15213",2015-05-28T01:37:54,1,231EN10,404,North Oakland,8,4,42003982200,3,4,4,8-Feb,40.44353562,-79.95213611
F150040629,150,"Outside rubbish fire, Other","2100 BLOCK REED ST, PITTSBURGH PA 15213",2015-05-28T01:45:02,0,231EN04,511,Terrace Village,6,5,42003051000,3,5,2,5-Feb,40.44433479,-79.97331397
F150040640,151,"Outside rubbish, trash or waste fire","1500 BLOCK ROCKLAND AVE, PITTSBURGH PA 15216",2015-05-28T04:46:21,0,231EN28,1916,Beechview,4,19,42003191600,5,19,6,28-Apr,40.41203023,-80.0203645
F150040641,131,Passenger vehicle fire,"TESLA ST & KILBOURNE ST, PITTSBURGH PA 15207",2015-05-28T05:27:28,0,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.41371123,-79.93229312
F150040658,111,Building fire,"800 BLOCK MONTEIRO ST, PITTSBURGH PA 15207",2015-05-28T07:36:46,1,231EN12,1517,Greenfield,5,15,42003151700,3,15,4,15-Feb,40.42649286,-79.93588071
F150040835,140,"Natural vegetation fire, Other","FORBES AVE & MCDEVITT PL, PITTSBURGH PA 15213",2015-05-28T18:26:21,0,231EN10,409,South Oakland,6,4,42003040900,3,4,4,10-Feb,40.43647316,-79.96399803
F150041184,131,Passenger vehicle fire,"REEDSDALE ST & ART ROONEY A, PITTSBURGH PA 15233",2015-05-29T20:32:39,0,231EN37,2205,,,,,,,,7-Jan,,
F150041198,151,"Outside rubbish, trash or waste fire","100 BLOCK PARKFIELD ST, PITTSBURGH PA 15210",2015-05-29T22:15:04,0,231EN23,2904,Carrick,4,29,42003290400,4,29,3,23-Apr,40.39125233,-79.98734141
F150041217,111,Building fire,"100 BLOCK TECUMSEH ST, PITTSBURGH PA 15207",2015-05-30T00:32:07,3,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.40861174,-79.94313508
F150041221,111,Building fire,"3300 BLOCK OREGON ST, PITTSBURGH PA 15206",2015-05-30T00:59:18,3,231EN31,2017,Esplen,2,20,42003562500,5,20,6,27-Jan,40.46158686,-80.05337529
F150041307,131,Passenger vehicle fire,"2600 BLOCK S 18TH ST, PITTSBURGH PA 15120",2015-05-30T11:35:21,0,231EN22,1706,South Side Slopes,3,17,42003170600,4,17,3,6-Apr,40.4211036,-79.98531718
F140020302,111,Building fire,"100 BLOCK RHINE CT, PITTSBURGH PA 15212",2014-03-19T01:04:08,1,231EN38,2620,Spring Hill-City View,1,26,42003262000,1,26,1,11-Jan,40.46732084,-79.99465567
F150041323,151,"Outside rubbish, trash or waste fire","700 BLOCK MERCER ST, PITTSBURGH PA 15219",2015-05-30T12:42:44,0,231EN04,305,Crawford-Roberts,6,3,42003030500,3,3,2,1-Feb,40.44442876,-79.98729152
F150041424,154,Dumpster or other outside trash receptacle fire,"1300 BLOCK HOPKINS ST, PITTSBURGH PA 15233",2015-05-30T18:02:24,0,231EN37,2107,Manchester,6,21,42003210700,1,21,1,8-Jan,40.45100849,-80.02450728
F150041531,113,"Cooking fire, confined to container","6400 BLOCK FORBES AVE, PITTSBURGH PA 15217",2015-05-31T02:22:45,1,231EN12,1408,Squirrel Hill North,5,14,42003140300,3,14,4,18-Feb,40.4380945,-79.91767867
F140020306,118,"Trash or rubbish fire, contained","1800 BLOCK MARY ST, PITTSBURGH PA 15203",2014-03-19T01:36:00,1,231EN24,1702,South Side Flats,3,17,42003170200,4,17,3,24-Apr,40.4260073,-79.98079315
F150041625,113,"Cooking fire, confined to container","7400 BLOCK MONTICELLO ST, PITTSBURGH PA 15208",2015-05-31T14:10:53,1,231EN17,1302,Homewood North,9,13,42003130200,2,13,5,17-Mar,40.45831363,-79.89101264
F160020709,118,"Trash or rubbish fire, contained","4800 BLOCK FRIENDSHIP AVE, PITTSBURGH PA 15201",2016-03-17T15:37:59,1,231EN06,809,Bloomfield,7,8,42003080900,2,8,5,6-Mar,40.46126376,-79.9463628
F160020795,130,"Mobile property (vehicle) fire, Other","100 BLOCK WATSON BLVD, PITTSBURGH PA 15214",2016-03-17T20:31:27,0,231EN34,2607,Perry North,1,26,42003260700,1,26,1,15-Jan,40.4803515,-80.0100996
F160020841,131,Passenger vehicle fire,"BEDFORD AVE & WATT LN, PITTSBURGH PA 15219",2016-03-18T04:44:11,0,231EN10,509,Bedford Dwellings,6,5,42003050900,3,5,2,5-Feb,40.45081373,-79.97224337
F160020887,113,"Cooking fire, confined to container","100 BLOCK N CRAIG ST, PITTSBURGH PA 15213",2016-03-18T09:08:22,1,231EN10,404,North Oakland,8,4,42003040400,3,4,4,9-Feb,40.44690881,-79.949096
F160020906,111,Building fire,"4500 BLOCK FRIENDSHIP AVE, PITTSBURGH PA 15224",2016-03-18T09:54:42,1,231EN06,903,Bloomfield,7,9,42003090300,2,9,5,6-Mar,40.46578525,-79.95219916
F140020325,163,Outside gas or vapor combustion explosion,"2300 BLOCK PREBLE AVE, PITTSBURGH PA 15233",2014-03-19T07:09:40,0,231EN35,2704,Marshall-Shadeland,1,27,42003980900,1,27,1,14-Jan,40.46328108,-80.0352424
F150042196,151,"Outside rubbish, trash or waste fire","2200 BLOCK GLENBURY ST, PITTSBURGH PA 15226",2015-06-02T21:00:18,0,231EN26,3207,Overbrook,4,32,42003320600,4,32,3,25-Apr,40.38833556,-80.00427886
F150042204,140,"Natural vegetation fire, Other","1800 BLOCK MARMADUKE ST, PITTSBURGH PA 15212",2015-06-02T21:47:11,0,231EN35,2701,Brighton Heights,1,27,42003270100,1,27,1,14-Jan,40.4836204,-80.04194181
F150042219,131,Passenger vehicle fire,"700 BLOCK ALLEGHENY AVE, PITTSBURGH PA 15233",2015-06-03T00:12:53,0,231EN37,2108,Allegheny West,1,22,42003562700,1,22,1,8-Jan,40.44971564,-80.01824761
F150042225,111,Building fire,"100 BLOCK TECUMSEH ST, PITTSBURGH PA 15207",2015-06-03T01:55:17,1,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.40861174,-79.94313508
F150042377,155,Outside stationary compactor/compacted trash fire,"ARMOUR WAY & EUREKA ST, PITTSBURGH PA 15211",2015-06-03T15:07:39,0,231EN24,1807,Mount Washington,3,18,42003180700,5,18,3,5-Apr,40.42390505,-80.00338839
F150042417,113,"Cooking fire, confined to container","1100 BLOCK DAVIS AVE, PITTSBURGH PA 15212",2015-06-03T17:45:48,1,231EN35,2708,Brighton Heights,1,27,42003270800,1,27,1,14-Jan,40.48172302,-80.03114999
F150042533,111,Building fire,"00 BLOCK VESPUCIUS ST, PITTSBURGH PA 15207",2015-06-04T04:46:41,1,231EN13,1501,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.40128611,-79.94081243
F150042537,111,Building fire,"00 BLOCK ALLEN ST, PITTSBURGH PA 15210",2015-06-04T05:54:47,1,231EN27,1803,Allentown,3,18,42003180300,4,18,3,5-Apr,40.42421331,-79.99395995
F150042666,131,Passenger vehicle fire,"700 BLOCK I376 MILEMARKER EB, PITTSBURGH PA 15217",2015-06-04T13:11:05,0,231EN12,1414,Squirrel Hill South,5,14,42003141400,3,14,4,21-Feb,40.42721443,-79.9210675
F140035862,142,Brush or brush-and-grass mixture fire,"YOUGHIOGHENY ST & MIDDLETOW, PITTSBURGH PA 15204",2014-05-21T15:51:26,0,231EN31,2807,,,,,,,,16-Jan,,
F150042703,151,"Outside rubbish, trash or waste fire","1200 BLOCK HIGH ST, PITTSBURGH PA 15204",2015-06-04T15:29:36,1,231EN32,2412,Spring Garden,1,24,42003241200,1,24,1,5-Jan,40.46063328,-79.99163613
F150021209,151,"Outside rubbish, trash or waste fire","100 BLOCK LECKY AVE, PITTSBURGH PA 15212",2015-03-18T13:04:22,0,231EN35,2715,Marshall-Shadeland,1,27,42003271500,1,27,1,14-Jan,40.47300286,-80.03533999
F150021236,131,Passenger vehicle fire,"N LEXINGTON ST & MEADE ST, PITTSBURGH PA 15208",2015-03-18T14:56:26,0,231EN17,1405,Point Breeze North,9,14,42003140500,2,14,4,14-Mar,40.44953707,-79.89916576
F160021326,130,"Mobile property (vehicle) fire, Other","100 BLOCK MAXWELL WAY, PITTSBURGH PA 15206",2016-03-19T20:36:31,0,231EN15,1204,Larimer,9,12,42003120400,2,12,5,12-Mar,40.46594185,-79.91268809
F160021503,113,"Cooking fire, confined to container","2600 BLOCK CENTRE AVE, PITTSBURGH PA 15213",2016-03-20T14:55:08,1,231EN10,501,Middle Hill,6,5,42003050100,3,5,2,5-Feb,40.446533,-79.96841687
F160021505,111,Building fire,"7000 BLOCK LEMINGTON AVE, PITTSBURGH PA 15206",2016-03-20T15:07:19,1,231EN15,1201,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,18-Mar,40.47135812,-79.89824
F160021571,151,"Outside rubbish, trash or waste fire","4500 BLOCK MARINA DR, PITTSBURGH PA 15120",2016-03-20T21:23:14,0,231EN13,3103,New Homestead,5,31,42003310300,3,31,4,20-Apr,40.38501856,-79.91808953
F160021800,111,Building fire,"00 BLOCK ALLEGHENY AVE, PITTSBURGH PA 15233",2016-03-21T19:06:47,1,231EN37,2108,Allegheny West,1,22,42003562700,1,22,1,8-Jan,40.45062996,-80.01853444
F150021582,150,"Outside rubbish fire, Other","BIGELOW TO SEVENTH RMPP & C, PITTSBURGH PA 15219",2015-03-20T00:17:55,0,231EN04,201,,,,,,,,4-Feb,,
F160021818,160,"Special outside fire, Other","4100 BLOCK GLADSTONE ST, PITTSBURGH PA 15207",2016-03-21T20:59:31,0,231EN12,1516,Greenfield,5,15,42003151600,3,15,4,12-Feb,40.42365645,-79.9457408
F160021988,131,Passenger vehicle fire,"7000 BLOCK APPLE AVE, PITTSBURGH PA 15206",2016-03-22T13:50:56,0,231EN15,1202,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,15-Mar,40.46451205,-79.89973996
F150021924,131,Passenger vehicle fire,"BRANCHPORT ST & BEAVER AVE, PITTSBURGH PA 15233",2015-03-21T14:41:12,0,231EN37,2108,Chateau,6,21,42003980600,1,21,1,8-Jan,40.45928801,-80.03099654
F150022169,111,Building fire,"00 BLOCK VOLK WAY, PITTSBURGH PA 15220",2015-03-22T15:55:28,1,231EN27,1903,Mount Washington,2,19,42003190300,5,19,3,27-Apr,40.43152466,-80.01050882
F150022189,150,"Outside rubbish fire, Other","2900 BLOCK STAFFORD ST, PITTSBURGH PA 15204",2015-03-22T17:35:32,0,231EN31,2018,Sheraden,2,20,42003562500,5,20,6,16-Jan,40.45675942,-80.0504194
F150022212,151,"Outside rubbish, trash or waste fire","5600 BLOCK PHILLIPS AVE, PITTSBURGH PA 15217",2015-03-22T19:52:58,0,231EN18,1413,Squirrel Hill South,5,14,42003141300,3,14,4,21-Feb,40.43098094,-79.92738121
F150042820,111,Building fire,"1300 BLOCK DIANA ST, PITTSBURGH PA 15204",2015-06-05T00:58:42,1,231EN32,2620,Spring Hill-City View,1,24,42003241200,1,24,1,24-Jan,40.46181609,-79.99055679
F150042982,162,Outside equipment fire,"1500 BLOCK BROWNSVILLE RD, PITTSBURGH PA 15210",2015-06-05T14:09:05,0,231EN23,2901,Carrick,4,29,42003290100,4,29,3,12-Apr,40.40036794,-79.9892215
F140036592,150,"Outside rubbish fire, Other","S TRENTON AVE & FRANKLIN AVE, PITTSBURGH PA 15221",2014-05-24T17:27:24,0,231EN16,NA,,,,42003560400,,,,16-Mar,40.44337594,-79.89237556
F140056823,111,Building fire,"1600 BLOCK MONTIER ST, PITTSBURGH PA 15221",2014-08-08T19:06:59,1,231EN16,NA,,,,42003561400,,,,20-Mar,40.44610314,-79.87090535
F150043042,150,"Outside rubbish fire, Other","E ST & LAREDA ST, PITTSBURGH PA 15212",2015-06-05T16:49:05,0,231EN32,2620,Spring Hill-City View,1,24,42003262000,1,24,1,24-Jan,40.46241853,-79.99889449
F150043135,100,"Fire, Other","700 BLOCK BELL AVE, PITTSBURGH PA 15205",2015-06-05T21:50:37,1,231EN29,2805,,,,42003465800,,,,19-Jan,40.43233907,-80.06517987
F150043150,118,"Trash or rubbish fire, contained","00 BLOCK 43RD ST, PITTSBURGH PA 15201",2015-06-05T23:18:30,1,231EN06,901,Central Lawrenceville,7,9,42003090100,2,9,2,3-Mar,40.47386586,-79.9646791
F150043454,113,"Cooking fire, confined to container","1200 BLOCK BRIGHTON RD, PITTSBURGH PA 15212",2015-06-07T07:37:26,1,231EN37,2206,Central Northside,1,22,42003220600,1,22,1,21-Jan,40.45461495,-80.01485431
F140020404,113,"Cooking fire, confined to container","500 BLOCK DORNESTIC ST, PITTSBURGH PA 15212",2014-03-19T11:57:52,1,231EN38,2602,Perry North,1,26,42003260200,1,26,1,15-Jan,40.49053248,-80.02532936
F140020514,113,"Cooking fire, confined to container","100 BLOCK W ELIZABETH ST, PITTSBURGH PA 15207",2014-03-19T21:18:54,1,231EN13,1501,Hazelwood,5,15,42003562900,3,15,4,13-Feb,40.4068653,-79.94494883
F140020526,154,Dumpster or other outside trash receptacle fire,"1000 BLOCK LANGTRY ST, PITTSBURGH PA 15212",2014-03-19T22:21:26,0,231EN35,2715,Marshall-Shadeland,1,27,42003271500,1,27,1,14-Jan,40.47820695,-80.02728511
F140020597,130,"Mobile property (vehicle) fire, Other","3200 BLOCK S WATER ST, PITTSBURGH PA 15203",2014-03-20T10:11:40,0,231EN24,1609,South Side Flats,3,16,42003160900,4,16,3,24-Apr,40.42478069,-79.95976164
F150043533,111,Building fire,"SLOPE ST & STADIUM ST, PITTSBURGH PA 15204",2015-06-07T15:08:12,2,231EN31,2018,Sheraden,2,20,42003562500,5,20,6,16-Jan,40.45955206,-80.05812101
F150043544,151,"Outside rubbish, trash or waste fire","WALDECK ST & SYLVAN AVE, PITTSBURGH PA 15207",2015-06-07T16:03:15,0,231EN12,1501,Hazelwood,5,15,42003562900,3,15,4,12-Feb,40.42491223,-79.95103699
F150043614,142,Brush or brush-and-grass mixture fire,"2400 BLOCK VODELI ST, PITTSBURGH PA 15226",2015-06-07T21:39:30,0,231EN26,1920,Beechview,4,19,42003192000,5,19,6,28-Apr,40.40028923,-80.028029
F150043797,113,"Cooking fire, confined to container","2400 BLOCK SARAH ST, PITTSBURGH PA 15203",2015-06-08T14:42:44,1,231EN24,1609,South Side Flats,3,16,42003160900,4,16,3,24-Apr,40.42722254,-79.97140725
F150043809,113,"Cooking fire, confined to container","800 BLOCK MT PLEASANT RD, PITTSBURGH PA 15212",2015-06-08T15:27:03,1,231EN03,2609,Northview Heights,1,26,42003260900,1,26,1,13-Jan,40.47574398,-79.99947307
F150043822,131,Passenger vehicle fire,"1700 BLOCK RUTLEDGE ST, PITTSBURGH PA 15211",2015-06-08T16:27:35,0,231EN27,1911,Duquesne Heights,2,19,42003191100,5,19,3,1-Apr,40.44053958,-80.02627029
F150043904,113,"Cooking fire, confined to container","5800 BLOCK PIERCE ST, PITTSBURGH PA 15223",2015-06-08T21:53:58,1,231EN08,705,Shadyside,8,7,42003070500,2,7,4,11-Mar,40.45679812,-79.93106875
F150043956,160,"Special outside fire, Other","8100 BLOCK FRANKSTOWN AVE, PITTSBURGH PA 15206",2015-06-09T05:59:34,0,231EN17,1306,East Hills,9,13,42003130600,2,13,5,17-Mar,40.45523686,-79.88335605
